Time,Name,Market Cap,Price,Circulating Supply,Symbol
2022-03-10 04:20:00,Bitcoin,773734624776.1566,40767.6937032753,18979112.0,BTC
2022-03-10 04:20:00,Ethereum,318871352065.3991,2659.5341189436112,119897447.374,ETH
2022-03-10 04:20:00,Tether,80064587237.79594,1.0003857270187633,80033716071.09529,USDT
2022-03-10 04:20:00,BNB,63507693321.627235,384.6229357898788,165116760.89,BNB
2022-03-10 04:20:00,USD Coin,52380951106.17206,0.99974346513786,52394392094.32488,USDC
2022-03-10 04:20:00,XRP,36342511629.93055,0.7580157317398626,47944270954.0,XRP
2022-03-10 04:20:00,Terra,35132827450.10959,96.83223348964754,362821616.1498091,LUNA
2022-03-10 04:20:00,Cardano,27749744962.54514,0.8240623460687821,33674327063.876,ADA
2022-03-10 04:20:00,Solana,27479216459.311623,85.16651017338917,322652840.92734474,SOL
2022-03-10 04:20:00,Avalanche,20054406291.40864,75.39749605999614,265982391.1851227,AVAX
